[D 2021-10-02 15:19:31,524 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,524 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,526 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,526 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,526 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,528 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,528 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,530 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,530 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,532 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,532 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,534 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,534 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,534 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,536 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,538 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,538 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,538 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,540 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,542 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,542 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,544 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,544 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,546 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,546 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,548 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,548 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,550 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,550 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,552 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,552 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,554 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,554 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,556 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,556 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,558 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,558 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,560 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,560 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,562 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,562 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,564 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,566 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,566 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,566 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,568 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,570 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[D 2021-10-02 15:19:31,570 util.py 118] This item in stdContainer in a <class 'xml.etree.ElementTree.Element'>
[I 2021-10-02 15:24:25,522 util.py 130] b'<FFoV_Annotations>\n\t<sample>\n\t\t<image_idx>0</image_idx>\n\t\t<amp_fullname>D:\\Workspace\\RBC Recognition\\datasets\\20210105 BloodSmear\\amplitude\\amp_00.tif</amp_fullname>\n\t\t<pha_fullname>D:\\Workspace\\RBC Recognition\\datasets\\20210105 BloodSmear\\phase\\pha_00.tif</pha_fullname>\n\t\t<over_fullname>D:\\Workspace\\RBC Recognition\\datasets\\20210105 BloodSmear\\over-focus\\over_00.tif</over_fullname>\n\t\t<under_fullname>D:\\Workspace\\RBC Recognition\\datasets\\20210105 BloodSmear\\under-focus\\under_00.tif</under_fullna'
